3.739569617523009697e+02 5.000000000000000000e+02
3.821308733508419095e+02 5.168384466641654171e+02
3.915115330633711892e+02 5.361628223122096415e+02
4.023874754231282509e+02 5.585675147461230381e+02
4.151471862576142939e+02 5.848528137423857061e+02
4.303264864200993429e+02 6.161225226331678186e+02
4.486856947427398268e+02 6.539429157717806902e+02
4.713409594028326524e+02 7.006132841801716040e+02
5.000000000000000568e+02 7.596515696722360644e+02
4.054677213142257415e+02 4.684892404380752282e+02
4.158077666791728007e+02 4.831615533358345829e+02
4.276743553755807739e+02 5.000000000000000000e+02
4.414324852538769619e+02 5.195225049153743839e+02
4.575735931288071470e+02 5.424264068711928530e+02
4.767754954733664476e+02 5.696735135799007139e+02
5.000000000000000000e+02 6.026286105145204601e+02
5.286590405971674045e+02 6.432952029858369087e+02
5.649128924180590730e+02 6.947386772541769915e+02
4.369784808761504564e+02 4.369784808761504564e+02
4.494846600075036918e+02 4.494846600075036918e+02
4.638371776877903585e+02 4.638371776877903585e+02
4.804774950846256161e+02 4.804774950846256729e+02
5.000000000000000000e+02 5.000000000000000000e+02
5.232245045266336092e+02 5.232245045266336092e+02
5.513143052572602301e+02 5.513143052572602301e+02
5.859771217915020998e+02 5.859771217915020998e+02
6.298257848361180322e+02 6.298257848361180322e+02
4.684892404380752282e+02 4.054677213142257415e+02
4.831615533358345260e+02 4.158077666791728007e+02
5.000000000000000000e+02 4.276743553755807739e+02
5.195225049153743839e+02 4.414324852538769619e+02
5.424264068711928530e+02 4.575735931288071470e+02
5.696735135799007139e+02 4.767754954733664476e+02
6.026286105145204601e+02 5.000000000000000000e+02
6.432952029858369087e+02 5.286590405971674045e+02
6.947386772541769915e+02 5.649128924180590730e+02
5.000000000000000000e+02 3.739569617523009697e+02
5.168384466641654171e+02 3.821308733508419095e+02
5.361628223122096415e+02 3.915115330633711892e+02
5.585675147461230381e+02 4.023874754231282509e+02
5.848528137423857061e+02 4.151471862576142939e+02
6.161225226331678186e+02 4.303264864200992861e+02
6.539429157717806902e+02 4.486856947427398268e+02
7.006132841801716040e+02 4.713409594028325955e+02
7.596515696722360644e+02 5.000000000000000000e+02
